mass_g,radius_cm,density_g_cm3,temperature_K,luminosity_erg_s,X,Y3,Y4
1.7990509961872908e+31,2528649129.097957,238.14075320200254,7394302.23731716,3.8927469371266334e+30,0.1644585001895337,0.0006758917218532723,0.8148656080886132
1.8491267920650707e+31,2554622812.7651277,236.84870262759534,7374347.241793968,3.9676120808213357e+30,0.16464500164518578,0.0006906817287942707,0.81466431662602
1.9001269695305695e+31,2580684892.62303,235.5471406909928,7354199.761745938,4.042564709401555e+30,0.16483184989894759,0.0007059905599097791,0.8144621595411426
1.9520558309628285e+31,2606834676.9238367,234.2362281077379,7333860.66959356,4.117567902662659e+30,0.16501903985188293,0.0007218397447236645,0.8142591204033935
2.0049173792803148e+31,2633071474.8743863,232.91610775518484,7313330.838839744,4.1925847186188985e+30,0.16520664045524075,0.0007382522276826856,0.8140551073170768
2.058715312298419e+31,2659394531.820837,231.58810152723305,7292611.129772123,4.267576732120693e+30,0.16539083825042533,0.0007552342660238688,0.8138539274835509
2.113453017245556e+31,2685803153.8286734,230.25013869101105,7271702.409535632,4.3425069796527496e+30,0.16557903351813757,0.0007728445404184919,0.813648121941444
2.169133565444471e+31,2712296642.89149,228.90469776298275,7250605.532714095,4.4173385758064403e+30,0.16576358991638784,0.0007910737363420837,0.8134453363472701
2.225759707164154e+31,2738874230.7240653,227.55086034094697,7229321.326943209,4.492033164624752e+30,0.16594814420681922,0.0008099661344922466,0.8132418896586886
2.2833338666485815e+31,2765535190.335089,226.18917157936716,7207850.610773584,4.5665536058836694e+30,0.16613147706484732,0.0008295445922814504,0.8130389783428713
2.3418581373276e+31,2792278771.0543017,224.81983593212038,7186194.175666409,4.6408625261748434e+30,0.16631351685617787,0.0008498388647373231,0.8128366442790849
